key,secs,best_iter,dev_ic,promo_ic,dev_sharpe,promo_sharpe
0,320.7,28,0.07088040384715358,0.07254944385883655,6.98226347664082,6.991408739901563
1,325.6,53,0.07121450550220473,0.07686004804698529,7.018263657151063,6.087009130671059
2,308.3,20,0.06880779264311175,0.06841542558371037,7.073854826490096,6.805828963059029
3,287.3,23,0.07052813483621587,0.06837059931969962,6.7229656673401275,6.609584913200683
4,282.6,22,0.0709549606122053,0.06952036798802311,7.690683198735636,6.613269182337631
5,301.8,28,0.07005068555708002,0.0727261398225499,6.491966139714995,6.280106978690448
6,294.9,17,0.07097402302993751,0.06307280794968954,6.706264714402347,5.050713673709545
7,236.1,23,0.07164719639506668,0.07177632484560371,6.674983749397559,6.269765131649638
8,340.5,35,0.06666064714231307,0.0686481578957353,7.891740733123477,6.228904134359915
9,324.2,22,0.0676733643986848,0.07205273771284795,7.286970055346907,6.570464619040316
10,291.1,10,0.0697365919599838,0.05736102990496825,6.778493583914982,4.9368765850709035
11,314.1,12,0.06854849283438331,0.0700025404239023,6.44634888402573,6.044653787590063
12,332.9,24,0.06880998235157543,0.0692410124691754,6.729659492759676,6.3355324782293145
13,270.1,21,0.07179699281773436,0.07016214920215831,6.34396443218295,6.18427248679347
14,277.4,22,0.07061811864140742,0.06879530014811185,6.3016734898840365,5.520297543386217
15,268.4,30,0.07019168825062996,0.07013595216952472,6.8021207797876215,6.040722748911852
16,388.2,42,0.07476904699908761,0.0709184846653864,7.952621265417191,6.84366449521095
17,308.9,36,0.07100081635659103,0.07433708615963117,7.046499609756033,6.583541329872101
18,263.6,17,0.06711502904714348,0.07244504622234377,6.5156021785695835,5.444224713104993
19,327.8,28,0.07201445529177604,0.071973541819448,7.267866255823049,6.2421246461306845
20,334.1,7,0.06361457264198117,0.05890463326276015,5.9455928382481416,6.145533398812163
21,228.2,29,0.07417845427211757,0.06957630326059884,6.969248746550014,4.926358146189495
22,349.1,18,0.07177182268946246,0.0690435096978465,6.452333702374104,5.6314697303355965
23,365.8,19,0.06798343313054207,0.06836793764196503,6.530457279691618,6.0864645951764205
24,228.1,28,0.07266273475365032,0.06811460528115858,6.908521462694356,5.484909839064664
25,232.0,16,0.07262191616674399,0.0711588195804826,7.053893691942688,6.225345416840521
26,298.1,16,0.06747194360277188,0.07251049380732515,6.605364212847936,7.431285097689897
27,250.7,20,0.06949377824983016,0.07007295792439994,6.356228185813104,6.6278899024017255
