,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47
2015-01-05,0.0784140350224599,-0.012319709474754208,0.06257361671130733,0.06252373065473821,0.056224580206761174,0.053904994844975,0.05510583553153497,0.06411671334211429,0.05590019974993373,0.08393717864026931,0.11722039688029041,0.029619598845748548,0.0785465827574191,0.02290714055153241,0.06606251409131549,0.046397250141003606,0.05607781371477907,0.059730106302609665,0.0522756216885037,0.0659492460268958,0.06344963674144684,0.04484210371610945,0.059392953064049785,0.06758079628961575,0.06004050899829596,0.044315768710380524,0.048718040482198494,0.024783293490909596,0.0853436306061274,0.05977396755308707,0.05031921712050576,0.05012039551806694,0.060047497878866526,0.053610497877483815,0.07273183412269946,0.06583573696659437,0.05763271914379148,0.060828565531598905,0.05009412696695684,0.06345710761378091,0.0356729334033948,0.036527745795940834,-0.07615671362833534,0.05756789125160233,0.07885312951899749,0.08159084273560956,0.05703167541472189,0.03814314119127099
2015-01-06,0.19611529702352043,0.2219174559946961,0.23033644924538438,0.13562749642950833,0.22090572236373446,0.13815488355130032,0.13962972350565095,0.23244893017798968,0.1438132724581838,0.18783324788157377,0.0760275914048186,0.15831093136327284,0.17450457222196689,0.1921014179741977,0.09638881926937119,0.22959081218433958,0.16941119581890865,0.10339705208948868,0.22056973707625288,0.162961600518244,0.17804764686985727,0.24376476354962737,0.16793810220780722,0.04213345227020829,0.056050043155274794,0.10848003962912511,0.2635170623513445,0.2264406254622182,0.14820634502240135,0.12160117413082878,0.23209381993739076,0.20360873698754128,0.13998639295045304,0.20786864321153428,0.2066725072548361,0.1993179002838153,0.1782013548263931,0.17475437716515413,0.1631101140430689,0.06251002731936124,0.23733830708112938,0.23457038331082292,-0.07021020550094315,0.24626989629746937,0.16642817535366494,0.16732681203964858,0.19068617144351294,0.15129443467452441
2015-01-07,0.15314793973853238,0.15430436373586026,0.18638367991916077,0.1455997015429165,0.1840484095120156,0.2056187703268597,0.09560637283598131,0.22605703784729003,0.21526422427816946,0.17436001902615159,0.21998226005358903,0.17616144518700555,0.16928348942402047,0.21067717116995682,0.20853272980527499,0.19018833395327372,0.1893415300773426,0.21837044401686653,0.2017015271576934,0.20339036418349402,0.12412952139634392,0.17486810135171024,0.1884293672543678,0.22583853859366954,0.24138824311879514,0.2148887681371228,0.1645900491246345,0.19026752800589597,0.17740469639865422,0.24055765971147341,0.15933080071434474,0.16790236422919202,0.21335068605486826,0.1859581311544675,0.1724250125355733,0.14684485646596815,0.20967484162441807,0.2141454890167281,0.2243877607983419,0.2328138171683109,0.16505233248000198,0.1874680659529587,0.17761865261447987,0.17169556852075715,0.1281445644497727,0.21098583714614125,0.18628063223623054,0.26750176636208534
2015-01-08,-0.16780860089088703,-0.22379388381467608,-0.21181764253733554,-0.2827648716346156,-0.21669489721025675,-0.24931548412681287,-0.2588633390638743,-0.22450530074295275,-0.25650026491363953,-0.21227770179075023,-0.2852534001371261,-0.2735571605547771,-0.2634001897352823,-0.18736846950529065,-0.2889381777002385,-0.2639954471244569,-0.2690310354430006,-0.24344243855021988,-0.2274864075867137,-0.22228405080124336,-0.2511347545846586,-0.1643958721912509,-0.20943323905211558,-0.34516807044184616,-0.32154020800992555,-0.2062101733343743,-0.17360260014211595,-0.20081718958743147,-0.2110891149715563,-0.2401653899761324,-0.16610645395172102,-0.17054726687087896,-0.2515266122829573,-0.2365926406666129,-0.16042789125491097,-0.21992953068292934,-0.21878649189877744,-0.22396740013864597,-0.1849409279339726,-0.321417782603569,-0.2075076898458383,-0.1782542835938762,-0.2708173989094512,-0.23144065181407267,-0.18438398873300804,-0.27368826177733213,-0.19196472413133833,-0.23376384259611438
2015-01-09,-0.010853484637019753,-0.05285360772479951,-0.09444773892571755,-0.1441498551193093,-0.05367036226100072,-0.07476524270913709,-0.0042068146453427685,-0.07887763996501009,-0.1103744523816414,-0.05865533197406531,-0.046711251034618,-0.1488084305172575,-0.1347752326887768,-0.033594755216248655,-0.11656547084909656,-0.04153139567433483,-0.1091054295625437,-0.06289725543121086,-0.08139374009580752,-0.054430344723715995,-0.1253563163288348,-0.030714168832146446,-0.12505575829273272,-0.20342030275325423,-0.136261086662491,-0.0900016268345217,-0.07533344052024436,-0.07507438811769925,-0.14106333617265546,-0.009849954749812234,-0.0176885560389794,-0.00014503117932545076,-0.11557005125810134,-0.11195429037616848,-0.005815559460451463,-0.0338962674048463,-0.08288126383638895,-0.07513879341114968,-0.1012575252865448,-0.12508032771949343,-0.013290628648809439,-0.03899120319302443,-0.22088729974796764,-0.08820948990973204,0.044557490314010274,-0.09453265849782258,-0.049736630059921766,-0.09124369484561977
2015-01-12,0.26574279966317943,0.20059853529225527,0.28082067938081445,0.15934567914011244,0.23399981966722058,0.24319110049746756,0.16889564215627276,0.2348122743155083,0.21532338128133305,0.24146266644535583,0.2043459406136292,0.2649403635396211,0.24897846828277465,0.260562745305512,0.20705237350836556,0.22823201185876604,0.21735380229314305,0.24183621429597785,0.24951517496470282,0.2555754282807325,0.22903206261929357,0.21380915282938645,0.23800579834113234,0.2113777775026785,0.2109075972387313,0.19167584633927545,0.26417323078891847,0.25889394532917004,0.22943041824543584,0.20461930321695793,0.24935869514988285,0.24930049229193155,0.232196485215942,0.22336491713073842,0.2281313495388666,0.2231740880882751,0.22462677417402727,0.26883327600587337,0.252004062751031,0.23078482737431938,0.19448151033609276,0.25243485931439197,0.2357161367578848,0.2238524853342323,0.18791842249317223,0.24711931633657552,0.2803507628637485,0.23651351522906902
2015-01-13,0.375983306276435,0.2695479307698985,0.37277022227395845,0.34474100532747026,0.48843361320141604,0.29295168161020924,0.10139427686041438,0.35416439063378236,0.4562183313253605,0.4316877349893037,0.3908255121266278,0.32344234601500244,0.35715134222093986,0.37065392819304,0.4287518301710052,0.4302808478737427,0.42342436037803477,0.3644281306826734,0.3628762134948402,0.2804676456522573,0.3026672652346243,0.39348805434159756,0.31565938351813494,0.5004601365300623,0.46769669822953064,0.36918120505782914,0.323486236694769,0.31908762726598894,0.41303228779808715,0.33074012567140687,0.2956232882046961,0.2891546607377949,0.41406514999042004,0.36549152552180036,0.3609893913374839,0.3780986462121412,0.35811025815931824,0.3783686693072268,0.33152634132635583,0.4274131644381248,0.36932241854925196,0.3703705470649819,0.34664194133733905,0.42808631388541424,0.3940457522181967,0.40268696833354306,0.2965626441662219,0.3460698997250935
2015-01-14,-0.1427983266205329,-0.051651696923553425,-0.09578377542883876,-0.19661657289135223,-0.07380981118918466,-0.11807403880637583,0.0016506785016214512,-0.0837691789153466,-0.13727668827685605,-0.1398147145416185,-0.1269356624657674,-0.0787050532009756,-0.14177786831596018,-0.1419114486456845,-0.14443993345832384,-0.11872476584117585,-0.12700245263062956,-0.1284699279671727,-0.12276461667012485,-0.11187018663589252,-0.11134397555129985,-0.11482326606801278,-0.12668424520232194,-0.13421197385489472,-0.1393987072290484,-0.138150208218732,-0.11838365892777264,-0.11310055688717494,-0.16769865422636238,-0.11127002929734531,-0.11064315589285323,-0.10426326393069744,-0.14944585631474352,-0.1394755159186399,-0.10991705138628019,-0.08566792788785686,-0.13639171859243227,-0.1414405779834062,-0.15910037464557025,-0.12438332402282017,-0.08575904875563312,-0.11004490684473063,-0.04195771133884632,-0.1291821973681671,-0.1003193046955863,-0.12596959043829672,-0.12320686297603366,-0.12070891081018847
2015-01-15,0.20220322432008025,0.13319720330145393,0.23047579157214307,-0.022710608235241445,0.10458820705518843,0.1673069100009256,0.20700403621524996,0.186537345546338,0.10963199102343167,0.19238846270267504,0.08322183298855952,0.10315067199041845,0.054751649851649854,0.10128175590872672,0.1278034946200429,0.1607178662111727,0.10995371932376159,0.15056450664473112,0.18710055081815152,0.1311301893449523,0.1432777823834763,0.20184076786787336,0.12333617064759676,0.07125643215606507,0.10236093143597569,0.050190578831392246,0.17772174912231692,0.2286109724051372,0.09027816604748072,0.23144242244302196,0.1857962859781624,0.14673798832814808,0.13710855185153217,0.1891251496579055,0.17829796812313253,0.17147684616617534,0.15190034182729945,0.17485246287233347,0.12659273583288372,0.10133983569927318,0.2020444086272582,0.25911925010076603,0.28793974877745737,0.22132039222417804,0.18852025225428898,0.1726121735241186,0.20914556675274223,0.11222341005972196
2015-01-16,-0.07891386375248201,-0.06749936919522881,-0.06566852899694631,-0.07885515813961,-0.10392337703627365,-0.09459397256662613,-0.02501029654286202,-0.11768251346388231,-0.13990708672775126,-0.12782985549216758,-0.13376701214938594,-0.1291264094301378,-0.11830693191244752,-0.07732811562760393,-0.13787742552596963,-0.10350452745556878,-0.13805648492669673,-0.11074498591511851,-0.06288527594311392,-0.0979269355707392,-0.08946559565212675,-0.05955327691962388,-0.13282279312913176,-0.18229815659178944,-0.14720032312641174,-0.13974296902668107,-0.1025598264450031,-0.05673604354882982,-0.07144132695793869,-0.023805742480787675,-0.027800719177763996,-0.05868280241703122,-0.11669901223323983,-0.05761254293031639,-0.0398213165517449,-0.08846160983324497,-0.08285389355394583,-0.08895709587348044,-0.13682837361296135,-0.14835420793217408,-0.09347696001969451,-0.05096252260237017,-0.22475177834679955,-0.1691496799224067,-0.08274231279683054,-0.1102504638555061,-0.05287939807125776,-0.08757330168912633
