,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23
2015-01-05,0.0784140350224599,0.05555870858550245,0.07541676924120955,0.04649726343192737,0.07138249818081469,0.06298885261555227,0.029466566460841098,0.046401588066875,0.06706240600467142,0.05753704377873909,0.048905053286431854,0.0927364202745069,0.06836498874549783,0.05990073138688443,0.03879575803903378,0.05433059357213494,0.047437870358374275,0.07524903610751571,0.027333752907406538,0.09101161274886496,0.06797457541707252,0.0898555555041389,0.09537990410135702,0.06860911757370453
2015-01-06,0.19611529702352043,0.2189124772499473,0.15092114392293737,0.17896658906161986,0.06824279104392335,0.1342656708630389,0.14025272563090221,0.1205238017718841,0.05048232069279955,0.12130556374437278,0.18121813909775758,0.19446464829211954,0.1409046268106187,0.22119897164486735,0.11818914082837215,0.18960407687392197,0.11454453865158713,0.12983340395045737,0.18665930631491298,0.11213054456921798,0.13048365235644763,0.17472580779074426,0.14484247826853658,0.1512625597526621
2015-01-07,0.15314793973853238,0.1712578748301695,0.22849535593736545,0.19114915818207662,0.19745748925330864,0.17627928212072666,0.20808618984591074,0.2152084067832489,0.20231101154126496,0.1829115454915402,0.18642041450983493,0.14480823351027808,0.2154388328520234,0.13696038913897304,0.18005912837931937,0.16617726968532337,0.1837125503972801,0.20888910304207528,0.2039552181491855,0.20533443505358934,0.1693836746713137,0.20199778924611775,0.20042249550058286,0.2002321435307257
2015-01-08,-0.16780860089088703,-0.16085011430990448,-0.2615370582066553,-0.19719720527860898,-0.288858718998562,-0.1399941751534033,-0.2127828270894182,-0.20840009393981135,-0.2848764497499759,-0.1966308672767627,-0.1671820141654401,-0.2089389585236957,-0.18562318448002654,-0.10327450607795224,-0.24636908054784581,-0.10316051549289977,-0.1847155977077061,-0.2512627228735864,-0.1946906173819269,-0.2934089093413247,-0.21233891449392855,-0.21768924214456212,-0.19080746664841672,-0.1983532577870586
2015-01-09,-0.010853484637019753,-0.029583975201153048,-0.14941407881381558,-0.04908279706233778,-0.10448389760437252,-0.03330731677696055,-0.07558295139783389,-0.0681002489895114,-0.11040140718964103,-0.011617999324088945,0.009183240693538163,-0.033607159198690964,-0.09173651460957763,0.0010941743742859252,-0.08698912886790802,0.021523533456767673,-0.07861095434250046,-0.03147605959985284,-0.01942511358090256,-0.13225366195474297,0.012108672244931794,-0.02938908955393447,-0.09929125553131503,-0.021291435862222177
2015-01-12,0.26574279966317943,0.2690999595927158,0.28226430108704964,0.2392552514966611,0.2207429787423868,0.26422093804953434,0.24599724156689107,0.27185409974806807,0.23524259380626308,0.245472938772723,0.28563481904955845,0.24582215592043094,0.25349586879048813,0.24068837760556083,0.2464757453908679,0.23041127952369742,0.27839858175934845,0.2325538125979546,0.29088357186251274,0.25075556374071456,0.2490433501572122,0.2784224353896564,0.2397146724163916,0.2722099959122622
2015-01-13,0.375983306276435,0.30390813108324216,0.3138689300272226,0.34824821324481253,0.40589795391987804,0.36506406846668243,0.3316575362930494,0.3204372656688109,0.37226309409361213,0.3613319294687056,0.2779367754765872,0.3142806436863373,0.35007349303597446,0.22516252671074308,0.33328387680744326,0.25815114328138145,0.31910432480720446,0.3727053403995209,0.3274034798639353,0.38759429936511725,0.31844882704634286,0.2999398411452169,0.40606273409471966,0.2740576981159135
2015-01-14,-0.1427983266205329,-0.11522162169415502,-0.13272875512234839,-0.11920231551994036,-0.15931648853615998,-0.12655925217950847,-0.09181691670863198,-0.138445516161944,-0.12103284310976999,-0.14283649242902555,-0.09998964752473087,-0.08245436681277415,-0.12559985916852398,-0.16149814156412218,-0.12786786233820086,-0.09398425755840942,-0.1438092434729825,-0.1129335814750195,-0.16956209982601694,-0.12140400559736121,-0.12232523279985301,-0.11041129860626026,-0.14800461997153908,-0.1018292394940775
2015-01-15,0.20220322432008025,0.18269588554090074,0.15170344892739715,0.20464402149292021,0.04651829730298237,0.1972129412377346,0.1848903858426267,0.0886733804655355,0.12462621678367619,0.14555205202408555,0.23687782325623605,0.1854304555962142,0.13204139137008145,0.1847344620895829,0.10948474308972261,0.19360886128909505,0.0965409026322548,0.12250931686599982,0.1669569852877578,0.16447353200318868,0.10753919060390736,0.15695665753458177,0.11974462243799626,0.20331107825013012
2015-01-16,-0.07891386375248201,-0.05191252550636249,-0.12765176007206347,-0.08143515507200702,-0.14339693757826186,-0.10856397975552175,-0.08516142217031479,-0.13600609814152,-0.10000069888602431,-0.04748448051449166,-0.07161580745070643,-0.04581775801727936,-0.08936365470124175,-0.015127747917150101,-0.09927409849141831,-0.05275408059026436,-0.087312303935442,-0.11569502641435805,-0.0458707769515458,-0.08501513811077056,-0.06727355673428492,-0.10301916321187508,-0.11986183265738878,-0.028298856164712782
