,c0,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,c11,c12,c13,c14,c15,c16,c17,c18,c19,c20,c21,c22,c23,c24,c25,c26,c27,c28,c29,c30,c31,c32,c33,c34,c35,c36,c37,c38,c39,c40,c41,c42,c43,c44,c45,c46,c47,c48,c49,c50,c51,c52,c53,c54,c55,c56,c57,c58,c59,c60,c61,c62,c63,c64,c65,c66,c67,c68,c69,c70,c71,c72,c73,c74,c75,c76,c77,c78,c79,c80,c81,c82,c83,c84,c85,c86,c87,c88,c89,c90,c91,c92,c93,c94,c95,c96,c97,c98,c99,c100,c101,c102,c103,c104,c105,c106,c107,c108,c109,c110,c111,c112,c113,c114,c115,c116,c117,c118,c119,c120,c121,c122,c123,c124,c125,c126,c127
2015-01-05,0.0784140350224599,0.06813218116242997,0.08079820728055348,0.05830462971321188,0.09201151574937298,0.05838534928247805,0.0745525580092755,0.07643184389511536,0.09234239200785542,0.08703277074127123,0.07860201181022024,0.03934426466588317,0.08452737755466042,0.05566402378582459,0.08072108859839539,0.10273823135864713,0.06844066145236545,0.08897857149047242,0.06905568294257619,0.08318845455568176,0.06502526781628923,0.08071554569311529,0.03276073916840008,0.049031335128465726,0.07456990971276108,0.09164856486431441,0.0736881057814597,0.05176061348921673,0.037765982636341594,0.05246480345567275,0.05948212154029508,0.04876816762560125,0.0566205364404666,0.06419985692131598,0.07544183281291093,0.07391656987735304,0.07812821390671149,0.09744596179554849,0.08456328594104026,0.06038031319155503,0.11090564861020168,0.07061902322744963,0.07070481776135051,0.07184255931906401,0.06470980420708632,0.08431675731396954,0.0593114964560203,0.049803003941810066,0.11924839159429224,0.07259904539185848,0.07113379043085487,0.061949196381708586,0.04467557556182434,0.06944465029571104,0.06706168301702618,0.0629052270445871,0.09715315179922951,0.07512279047390412,0.05392307603369841,0.04342962685320776,0.023656895843215522,0.0771230200839572,0.07661620574464953,0.07849476864284415,0.08149902330466507,0.06804036729278863,0.08001617564429413,0.04627146144191919,0.08413431327153591,0.07706397609292992,0.06278713906253253,0.04674381911648515,0.06896627347044916,0.06534892528547144,0.06359857219636465,0.1284630957595306,0.06551810439445575,0.07516324157361484,0.07546882435166626,0.030073876082836026,0.035530263841402336,0.1164755066798221,0.09548812275833443,0.08498478773821057,0.07978457860193813,0.10998280855975406,0.09502057924167671,0.09294994262573211,0.06120451910711957,0.07626917167493814,0.04325635081423381,0.0532682837254073,0.06977288668664638,0.0647727041322215,0.0554702630969024,0.0416855396570263,0.073515552730131,0.06241288749937131,0.13038987354572,0.12028926742751805,0.0564409945085673,0.10321877714684471,0.038371123295400815,0.07950261342029762,0.05139670970778326,0.08486308481792983,0.11240264820834577,0.06657078242752247,0.09062264539573012,0.05502176976097679,0.08179086931745709,0.09636702323298053,0.09797518875185837,0.08979458354605768,0.0753256727979103,0.10030802888714047,0.10827703970876991,0.11215321747074071,0.06475149649462802,0.05994097769913568,0.0428341260294183,0.10738776490513449,0.05602961453843027,0.09418265925839277,0.06171133344642724,0.043950659949538326,0.08936512888478983,0.061711092450545485
2015-01-06,0.19611529702352043,0.0685353400843975,0.1632864886107068,0.0634391372426264,0.14669311262080667,0.14693772313228307,0.19434966246288304,0.08225831224202904,0.14884856567029298,0.14029498941618626,0.16849272584821068,0.1713262883465002,0.14127909811486725,0.178245035274871,0.09122437359608673,0.10341192705302439,0.11431409477204953,0.10818490146373375,0.15343052666036103,0.07215892033286844,0.2508157323760935,0.16179828392553733,0.23996243953725716,0.10575225464931186,0.1504909505330629,0.10749309760405636,0.11169161508964794,0.17570236095239125,0.19967607996133427,0.1185142650313673,0.199795788001217,0.14308156591854548,0.14378234197845075,0.13560394536018955,0.1713907465218217,0.23343091388187984,0.15510289756073473,0.15995355233657507,0.186328987680207,0.18053577965937273,0.045598610442435364,0.14557276814498102,0.13797142566769302,0.17391807365970113,0.09065251388682441,0.09639118037469434,0.09861534158908375,0.1546056487796833,0.13753863506196312,0.18736220736960912,0.09139980372159535,0.08884555998303223,0.18408759039695874,0.06032694933759431,0.17579609683371952,0.05262549599460557,0.15520749452654942,0.05369342393225773,0.11048296527473717,0.214033253099697,0.06908171623155665,0.1087645528205624,0.1811713892123596,0.2019236161184227,0.16440447198120933,0.0775559348804813,0.18888559252409323,0.12794050581290323,0.09579075129102213,0.13932008902826545,0.1289130450955009,0.1686639059841377,0.1089468301515081,0.14895599596249542,0.1693259599167436,0.09293357773950127,0.11406122039194219,0.17394758747624028,0.0875363270813561,0.20941351442445888,0.09520590550248258,0.07697583856473458,0.11995337288690874,0.09997628269733645,0.1606968282922967,0.06114507233205921,0.15225044621986014,0.14259753932730362,0.1682698375057071,0.15736625312348812,0.07940680534328369,0.16506534536115372,0.16029260706097667,0.17902443614203656,0.21372347608130224,0.17145119081809385,0.1747158911483871,-0.006298484559984289,0.1536732482875789,0.05808626724331613,0.180746390254196,0.16149322911778882,0.21957405896148854,0.18156380491706398,0.13823445280068983,0.2211786661390884,0.12385980748293589,0.08036258077808714,0.16154210399797758,0.1410977652260508,0.13537043204373192,0.12231257516468816,0.10061118391872641,0.08501561103838141,0.1799511699813655,0.12335453094378587,0.10658997481795873,0.18126913897273722,0.15771829392716694,0.1258334554225411,0.11427584486581482,0.11715049059672682,0.18759312347021131,0.06373639294859411,0.15247120956757287,0.16158413167272934,0.15137093448699382,0.16913471038557
2015-01-07,0.15314793973853238,0.23519774898128426,0.16205727065853978,0.2214211112053714,0.18881627313796223,0.17906061541462992,0.1757864661185651,0.2180865858162023,0.20323817802212948,0.20944298433782516,0.1593641957967758,0.21447037546152192,0.19243677714609805,0.21118811593115241,0.21262219618526446,0.21583003238907325,0.24340578317023887,0.18563658421791673,0.17790037483645277,0.19407604491493552,0.1610988317927676,0.16366739070432423,0.1989507265105843,0.1814850983991267,0.22126579766364163,0.2354172023801171,0.2371470959340773,0.17112498968379172,0.18506075758228363,0.20483589418015383,0.1838590116873707,0.24319777951395377,0.17381043138385716,0.21513159809365742,0.19208851414360242,0.14962428146944676,0.18243781239362494,0.17902197253353105,0.2506081483054116,0.1500550780328077,0.16739310918673825,0.2056826980560849,0.1502926601906746,0.1694127761002894,0.23290255267305635,0.20637779284325763,0.1761895924707689,0.1746519874611205,0.1516046098576101,0.18578399965321968,0.19296012579505376,0.2507560408133207,0.22537434694787742,0.22696776945244637,0.19852183823764794,0.23072089964509418,0.17301610549460347,0.1693941904719342,0.2054284183570025,0.1735952716384797,0.18288610935687624,0.20091388028492596,0.15615158886690542,0.19365999130828804,0.20168673790690247,0.2204915088238466,0.20068583957918226,0.22197022184055093,0.22517540767110936,0.18672860341341324,0.19396102412277402,0.20938668977029848,0.19412370588147404,0.1670193028351929,0.1846519063588059,0.20908279452017556,0.2071563753365081,0.17031682868895948,0.171005244459646,0.2429788031877271,0.23221843055582528,0.22344983605463462,0.1851595116117584,0.1815915289063738,0.24307278649114034,0.22088795615956425,0.17063837562551024,0.19021886660006784,0.16859173414509085,0.15041526785045728,0.2351133071299942,0.2307996166251103,0.19110526750231005,0.18665847374030797,0.2255489555217314,0.16212119838776498,0.14232173108698068,0.2366933716015907,0.1466502108426555,0.166408172826704,0.18414430110585342,0.17862313983478267,0.22180584385381288,0.17306333568261317,0.1868445320567097,0.14384979464450595,0.1945568878078658,0.18720138236611616,0.21295519286436296,0.21245712906353365,0.18946366066451914,0.16942422584283717,0.22543636638667802,0.24319730244134766,0.20011287537918607,0.19030235430614553,0.19237952843335904,0.18109151349904604,0.20546133636682742,0.215097248866014,0.20129840080548958,0.19033479524336433,0.1644540834318794,0.2170337901150644,0.17799006448641055,0.18671142879959154,0.22492828406111937,0.1439418696574945
2015-01-08,-0.16780860089088703,-0.2479965788356564,-0.23728068109013248,-0.2930046610850949,-0.2574076106910656,-0.24788349246427221,-0.24848362963462095,-0.20528451194497366,-0.2024595697927856,-0.24669490564507826,-0.10526608788529587,-0.2136754721782857,-0.2463936620270749,-0.2004342487002256,-0.23196939461239213,-0.19990213197338452,-0.22543674600981903,-0.26404991197059186,-0.13674700994622177,-0.30858853095244043,-0.15710167972236538,-0.2512863403732378,-0.18603793669329352,-0.21721134926896166,-0.1987668050258536,-0.26513511198008705,-0.2619419296292517,-0.20019710972413338,-0.24080715937992672,-0.24128336529126637,-0.17018770248843018,-0.23668711066521872,-0.23904211277332155,-0.20642538177507594,-0.21820738116752786,-0.12664088904944595,-0.20315893697634219,-0.20936648346636602,-0.16407631296127295,-0.15396971007470833,-0.2939280124064187,-0.13415631483139312,-0.2574726793125543,-0.21864020799787506,-0.17579155676797537,-0.25037634365197337,-0.23078948360939666,-0.21717423605522362,-0.2675038507971709,-0.2112944426215874,-0.2139899705154812,-0.2627591433161712,-0.1749601243822862,-0.23464853485346657,-0.17581806620635967,-0.2549371720285438,-0.16357118766260498,-0.2621549691159037,-0.2784327618138724,-0.1752249777712347,-0.21194116609629202,-0.25224164413465,-0.10549165910645676,-0.20140136121146351,-0.16314197575567382,-0.3078948360939522,-0.14872517918271752,-0.27253847513613694,-0.22889887866280775,-0.22778813319450583,-0.28774959088104446,-0.319697599570065,-0.3016087616114366,-0.24528604949240027,-0.1864955859977642,-0.21727617689555598,-0.16143091200541487,-0.13352611318253013,-0.20102348121704014,-0.17185948407090149,-0.28758836529668913,-0.23555693030147248,-0.2450014640441599,-0.22970982648247273,-0.16786860861959332,-0.25789393838797015,-0.19490751278688928,-0.2255758000638894,-0.2482097995512934,-0.2415202632724642,-0.24522170385559475,-0.2813706970211003,-0.18087486207561082,-0.25047852548720007,-0.26708548366048784,-0.25646580264373997,-0.2453115949512069,-0.3094991218742748,-0.12038755352948559,-0.282732077179581,-0.23475650056615896,-0.16439804114530052,-0.2084044318479106,-0.20303193266699193,-0.13749505809844764,-0.07868314605820975,-0.18052734743788215,-0.21170560542142178,-0.21564247250640026,-0.2591750672466147,-0.26245332079517425,-0.2834061398992252,-0.22285954660907695,-0.2690009110812002,-0.18700456721474265,-0.2394956651645874,-0.28784478386433354,-0.18098210480362,-0.15464184483519738,-0.19658893416513668,-0.2122372146484906,-0.21092981734635613,-0.20642923769338634,-0.27415651485715653,-0.21422976043541186,-0.265059680578139,-0.18716506981441483,-0.12926315449544137
2015-01-09,-0.010853484637019753,-0.07256058006152022,-0.008532270153440867,-0.10933108662774416,-0.06834570471899477,-0.08196766282188818,-0.055120674054255234,-0.10951523805938763,-0.06659889003774433,-0.0009443724324826638,0.024832534311377302,-0.1197511474936548,-0.0006120888259031358,-0.00213539328506815,-0.123156532438934,-0.025452017819121046,-0.11040331549463214,-0.05129166008956422,-0.10611964786580576,-0.14596388339127556,0.04643073020092271,-0.07445919829618552,-0.08705639661884515,-0.05743878754222355,-0.060998491965042125,-0.02007894657848654,-0.16933058092993267,0.014568954454738865,-0.11323905671144294,-0.11893916371993138,-0.15074202054951427,-0.014234524005044321,-0.06512043074587073,-0.04653783381854957,-0.06565117807152719,-0.0008513425641653515,-0.038856190614902385,-0.1036417138348308,-0.053074732565646036,-0.05831541514752129,-0.057687947492946076,-0.01989407953247137,-0.051505390248570156,0.04019367387555667,-0.04889030262740058,-0.033570662865735706,-0.03715374402469557,-0.0793814324826669,-0.06000092553093188,-0.02594984688368061,-0.06831827283474735,-0.0837657631997751,-0.050132126269332285,-0.027040443186108175,-0.031196254380529236,-0.14228393575260337,0.02152568029988269,-0.14646580000852852,-0.09525399778446761,-0.07061730327280442,-0.06376840668459971,-0.08732188955073533,-0.030061528525181916,-0.01571131353005068,-0.08231235041091,-0.06105359427166085,-0.008789175712870984,-0.1751696633713713,-0.1178891188985652,-0.1463851217166535,-0.14194521161667878,-0.07532413753341263,-0.06376315642582965,-0.037862679328898266,-0.05431346104300963,-0.08985397173583345,-0.12175009697185754,-0.04961330584987036,-0.04786386724925711,-0.04404320211890226,-0.07761648890400077,-0.09850005981805252,-0.05486710802855959,-0.052900599735205944,-0.006294066936975893,-0.016881343027733798,-0.06468629136038993,-0.10757783141714865,-0.11644333932966462,-0.041658536494368494,-0.04039285320900527,-0.04400670578594701,-0.014543669413606467,-0.11223194875237706,-0.136483404193957,-0.12830560169261748,-0.08264201009812674,-0.1741762443786452,-0.12072247473413708,-0.10802736608457063,-0.07425548673838302,0.04140878707865509,-0.08975712525753389,-0.0679843194613006,-0.0933239858240692,-0.00012165444318417744,-0.07921374018157185,-0.02294760605639422,-0.10516072460776578,-0.06477407338998166,-0.10927241928195622,-0.05925573243189782,-0.06549660536724612,-0.050574501252000546,-0.001855588065744542,-0.028045881378306818,-0.055364698554995255,-0.041821935109233516,0.013865744065509542,-0.008538949220909803,-0.09066118474707907,-0.11926214433967917,-0.041216286812675425,-0.07277275111918305,-0.07396971806596213,-0.04961259023549869,0.03022945936440086,-0.017480550794946845
2015-01-12,0.26574279966317943,0.21339245535877163,0.2551684853476794,0.26206397928406644,0.1884007428979983,0.2481278478259943,0.2498395843368905,0.265566759871507,0.25054469764879256,0.2532702134477753,0.25989007293082866,0.24684309129760984,0.24795514754256498,0.23545250575297283,0.19275784701004264,0.2212696142444909,0.25416186214868525,0.2565481793246894,0.2762989852196455,0.2859630452098092,0.2538345903408606,0.27424757301316455,0.2442883674916318,0.24959389194471895,0.26248916448917947,0.23801724808368013,0.28799970230739774,0.25791737770436385,0.25854138867321896,0.268476902769073,0.31530396442654696,0.20296243005576997,0.246825439611182,0.24670807975006703,0.2647972417577736,0.2545463826692489,0.24883916308177642,0.24812880197120663,0.22219942875389356,0.2626761769507935,0.2423369598021725,0.2272716647025692,0.23950189803404495,0.293062362454838,0.21088851433448497,0.26844684719488504,0.2281346890471097,0.2403320043687605,0.22666339712971734,0.25758533517047766,0.27639439974087715,0.2344902782735084,0.2405247417016485,0.25616270465891344,0.2139680180072372,0.25018403075853685,0.2513266196502861,0.27199323129287606,0.2668885213580953,0.2448203034474984,0.2148784361704552,0.2374380819398039,0.25261280739648906,0.25714070350153806,0.26894586514092667,0.24103520939023795,0.2827657043961221,0.24705514726078023,0.24236910439705672,0.2697192320043488,0.22455044255704193,0.2341381707230065,0.25040634659300665,0.2550124826054656,0.25406310811921046,0.2302237899894772,0.2564179385032081,0.24458510665266234,0.23460808724007248,0.26686058077940844,0.25381741572703886,0.1976973597116083,0.23508182033798777,0.2546107874710803,0.27092046865781616,0.21527710523853574,0.24598865425998018,0.2635721193051589,0.2622291599188232,0.26095394484256185,0.2517793615535304,0.26661965911329855,0.2524668231790046,0.23329327513750006,0.21635719761887826,0.24881101579801307,0.24657354527513037,0.2566744262550482,0.2362578043121681,0.26598561314826086,0.2423590858723274,0.21956885040353635,0.27892097626309187,0.27366697565146986,0.23677495101724377,0.29016271515460745,0.2666840639151299,0.1795009534301141,0.24011350511513999,0.2533131499823295,0.20948809268430654,0.22954253030788302,0.2783499203535203,0.25389660977966116,0.243903369898462,0.2311378611028766,0.24723715327029666,0.24904382722981835,0.22394885400067627,0.2517655264479518,0.23604789236545842,0.21548176938657768,0.2446585758340107,0.25840590005307,0.2150853220508601,0.2358398887091734,0.2599769001451495,0.2939416072679878
2015-01-13,0.375983306276435,0.28238101269722554,0.33433773019444707,0.45214156129539707,0.30203085037800903,0.3123394352518789,0.3511359337298891,0.38621632120542837,0.329104720777496,0.3061937859393469,0.33058460000179923,0.3625227026936768,0.2854974221389849,0.26329350890316244,0.30096220774021426,0.3060000944612466,0.32892486440497437,0.29858161543548406,0.30783491570453164,0.34003934657797014,0.22603652372522523,0.36240391161474345,0.41695620998373967,0.3084856427393316,0.39032601710798,0.3630074084615338,0.3460336422070254,0.3226017440829514,0.3748502588368089,0.3857117708612163,0.37921881269140106,0.2821455100081162,0.3657749066498584,0.3400511517257996,0.41590187952412966,0.28251333298746434,0.4101474297486476,0.32379347145313503,0.29749627525647376,0.30610886701545065,0.29098955139249444,0.2993420691697005,0.349888388864785,0.26481155393595834,0.36022969617600675,0.34034216601555617,0.4101068785771241,0.3334875868102729,0.24483986342435088,0.2765499254104848,0.3111205147431443,0.3422828973774084,0.30604064563277006,0.33338644741776724,0.3581274327731399,0.30445628750771814,0.26434306863671087,0.2839405295537704,0.33030129766241306,0.3339675218520682,0.2614868804791823,0.3043894973428559,0.31191006990633635,0.33508816540393416,0.3066183805588278,0.41599204624669367,0.2236697665260736,0.3772725814408224,0.2322561192917118,0.3732391846458121,0.3663445313416115,0.2753324361195687,0.34358769095525155,0.3394390675720984,0.3685419277655769,0.29550783663400576,0.36395201222172735,0.30801811158529646,0.2890420716027415,0.3007241485097413,0.2864611088034248,0.290748391132556,0.32444304450205175,0.26521134077991904,0.29977000329742454,0.33687746639199034,0.2858943465473086,0.3233617207445617,0.3340290642182626,0.3275413538471151,0.3862298717115043,0.3849728313091682,0.3201825088971223,0.3121261837969261,0.32025979465932,0.324902188189847,0.3591769925066883,0.3746498732244423,0.419777140303954,0.37488025471940994,0.3435452314933034,0.24975895906644976,0.24347018797207023,0.2897748551258007,0.2968193092283351,0.2591300962692184,0.32442893216453794,0.37106950268967465,0.321130452165559,0.3671040309306156,0.31582731307550266,0.3475035029065993,0.2648401782923278,0.2826273533403362,0.2903964807316251,0.29101810633744946,0.4012476402807633,0.3012303225448753,0.24089781247966435,0.24406366629413123,0.3495644565652035,0.2662155786158824,0.3008873073410474,0.2936329763127843,0.3399304523564416,0.3133536916125716,0.3376987067048327,0.27607714645778186
2015-01-14,-0.1427983266205329,-0.06050330205821564,-0.14229167551279273,-0.07094620825553243,-0.07018382921675413,-0.10911222989969104,-0.12534557946944158,-0.1322850775986211,-0.15946199568103828,-0.09410209449213053,-0.15594310813801424,-0.1285271766799117,-0.11432758763021422,-0.08842302218842141,-0.11451078351097904,-0.11689471532395239,-0.1463859126188438,-0.114522710326133,-0.15524849042344765,-0.10168186044091691,-0.05630840263226517,-0.15653324695183213,-0.09232690732461526,-0.14702662112891446,-0.13439850924390262,-0.14045351476126455,-0.13815974967085515,-0.12064259771793247,-0.11813939775341954,-0.15342702721313503,-0.15550658670337933,-0.11073809334147873,-0.12345207829559905,-0.1142913301121462,-0.1278740642820809,-0.08719599144538209,-0.1408151357967326,-0.1245340789663662,-0.088006060730639,-0.13939536772080532,-0.053951186885236715,-0.12100469582600665,-0.11600592905867935,-0.08060809582694128,-0.1503098348044963,-0.1368311024627041,-0.15079978837102093,-0.10721443507239309,-0.1394654973939106,-0.09986179206628042,-0.14979841297069454,-0.1141563185646034,-0.10127535819832764,-0.15147770854437195,-0.15030649529625317,-0.13111911214917008,-0.11422740238292098,-0.0945496224269085,-0.08930800252442075,-0.14567268907263703,-0.08472556189977329,-0.14362747881003615,-0.13351306248687272,-0.12573200828042985,-0.12643664451972575,-0.11447070941206176,-0.12719280460048676,-0.13688691995762464,-0.11570203380855647,-0.09005556464669531,-0.14619222114074348,-0.11966793838355093,-0.11366970450632187,-0.14279117053144053,-0.13224023277364222,-0.10843001607288458,-0.1384445620167317,-0.12260432027445564,-0.1578208659158535,-0.153571580212801,-0.11481563290631423,-0.10349565410738866,-0.0912701915019745,-0.11532228401405444,-0.13870838316793727,-0.06785499901203747,-0.11476983393612304,-0.1510817382812605,-0.13149170585457973,-0.09014763965968386,-0.08070494156599144,-0.124646921504096,-0.1136978517900852,-0.13326069107821498,-0.09761096351042527,-0.1121945960080802,-0.14939147003764147,-0.11025389094572395,-0.16624596814061018,-0.1258326856081262,-0.10887894139527961,-0.11783454835808434,-0.10509957220929306,-0.10190747940148746,-0.11973043489495767,-0.1441894703400907,-0.13674093574014018,-0.042879290955635356,-0.10888228090352273,-0.13592132500276013,-0.1068246667531617,-0.12392676553872663,-0.12877048370905245,-0.1522963651365397,-0.11442968116793213,-0.12394346307994214,-0.16518448159190782,-0.0924743227599182,-0.09348333132194313,-0.12359186056920345,-0.12301364857053951,-0.03863477086452254,-0.10967803801059485,-0.11683460417557644,-0.12056244952009787,-0.10530280513951652,-0.15237221968091888,-0.11063313736812388
2015-01-15,0.20220322432008025,0.1613061349610643,0.21023438207925202,0.19281984371959682,0.1498142892672577,0.14584919883630038,0.11027086871944258,0.09978638204839183,0.0590256958489165,0.16921221632482691,0.14748410879093565,0.15074525288087154,0.09955719582096578,0.16237832163384916,0.13673573261511993,0.22041666104347604,0.09948778926628789,0.15384179739842885,0.09223745524724265,0.08883076089234768,0.2672340331185254,0.08941419903872962,0.18438718832121184,0.08921754713380886,0.0986464757857997,0.14188193945050936,0.15358031784347906,0.07098483081189143,0.2620080569442526,0.18115520462403994,0.14355372163731733,0.13284294067861874,0.18289374242072906,0.17470304598379072,0.1957529936396832,0.13139142790492056,0.1560690730176416,0.2075393352009079,0.186378529853516,0.15245390729985211,0.21915939022488343,0.1337355860901708,0.14610561749663825,0.19583469093841865,0.10721505235376225,0.04870267581548447,0.10013172785691075,0.13169026168200604,0.17090737502484235,0.07324849667331379,0.10273977554692595,0.18075804489449412,0.21261083359202598,0.10709913376765087,0.14349540085178933,0.1804141450558643,0.23569092297224742,0.15541276063915227,0.05676323496240173,0.15297999934451142,0.3069577549001415,0.1438600262588299,0.12858504134511398,0.13646943316053972,0.15091298538800982,0.1393772786075665,0.19916692854790305,0.029864824693603905,0.10613153891684594,0.11894138616458834,0.11492183086780736,0.18701909451439758,0.1322756384921194,0.06338939197930879,0.08448970758633904,0.24161747155780033,0.1629808090876505,0.1239902310274435,0.18265009649441183,0.17200269721585318,0.12696073516966558,0.1187698692950889,0.13235757678583637,0.1256447972129491,0.20506455773567353,0.16855213107044217,0.13405201250090726,0.1162475442611518,0.1607308799401748,0.20730388310396236,0.10483450392630242,0.10849569968556236,0.12186224534061718,0.16978988129553166,0.16412095634522414,0.19158811836904532,0.16764839988974017,-0.05286683447149597,0.17972610438362321,0.13258676301326242,0.008358428944076639,0.10590476263923511,0.13182497787667602,0.1700029208591958,0.1937640620571942,0.17029139185207587,0.06194197612029648,0.11835626461108337,0.08301987919404531,0.15352079208304348,0.04962207166998531,0.10723746488704367,0.10763944451621991,0.07053368820648498,0.20545545159569986,0.08117626758541323,0.017147756915111993,0.1877775057212427,0.1444796243563192,0.12833922646396304,0.14342599429711142,0.28301052858878556,0.16436653023139355,0.17894238870371842,0.15750492111754097,0.13054216159004223,0.15800378072928845,0.16985326297567152
2015-01-16,-0.07891386375248201,-0.07199731145776075,-0.12864899802658408,-0.09145790260476616,-0.05896597172504517,-0.10820513796860025,-0.11364680858558315,-0.08791358684905459,-0.10971256266785749,-0.05374408869011226,-0.05122231538027573,-0.09857135661723221,-0.13750557000063726,-0.12480151036493078,-0.11148749199000445,-0.04062913231384087,-0.12872346552971284,-0.03422516803992208,-0.05625019731482462,-0.15941399603811277,-0.045052598397752316,-0.07696517692303455,-0.07055253682350854,-0.1396002998944732,-0.12464293555244298,-0.1587507389515116,-0.1446113121681191,-0.0782583569288242,-0.10507581587110146,-0.10816754272430223,-0.10988897112187128,-0.03213260710248796,-0.09378543381906289,-0.13693730342336333,-0.045876078844972454,-0.059399281015095444,-0.07777178770935171,-0.07342327111888056,-0.05909008423025979,-0.09535624024428407,-0.022342901885345427,-0.05593931356389866,-0.12116585744518747,-0.09251370238213559,-0.12893361330553257,-0.13661653887105135,-0.09317619806531033,-0.10627356179521151,-0.08158095714123974,-0.07757393068647558,-0.10478758566481663,-0.04629034951771796,-0.09383797076301784,-0.15319459563554438,-0.04804744519833896,-0.07284150881288423,-0.028420558718369838,-0.10548215912436881,-0.18781523672606296,-0.07079377297442084,-0.03784347386849263,-0.09887886643597757,-0.09163816698127204,-0.10641213400977154,-0.09087035641503168,-0.07811568779661632,-0.04406283129306017,-0.040711793652265356,-0.08294956863078118,-0.0844003594684356,-0.06371213032251465,-0.09246550335098427,-0.08201860434409362,-0.10392602798298697,-0.12034285898827886,-0.15925490081735427,-0.0834320409326058,-0.0839694601299429,-0.03469968750160673,-0.03973672725207436,-0.12212092124745068,-0.12798071845967116,-0.07344953959085801,-0.08727711864270153,-0.08572028993651423,-0.13107991616270037,-0.09747747960525324,-0.11308819544137748,-0.05289891867887404,-0.07491888705550569,-0.18274903656174876,-0.08674355536785654,-0.07064218702144998,-0.0486949991818568,-0.0874581060046747,-0.06547404590625078,-0.08328238294088097,-0.19036207353209816,-0.1395304112993038,-0.11810714692832536,-0.12008210222975027,-0.1219555985706017,-0.053356086489344215,-0.052947840695492625,-0.049644279100381855,-0.06679397637432939,-0.10015806872273333,-0.0517272002315857,-0.08592489482375153,-0.039387284276227355,-0.146263574955986,-0.1542537693450944,-0.07628002769521869,-0.11959215907809721,-0.03218008314817201,-0.10274973062773926,-0.15456561707664337,-0.0625992146932309,-0.0450444045624566,-0.08105173177919836,-0.08964851097534599,-0.11034228300984933,-0.054857004319396004,-0.024341718640305026,-0.05948483429538902,-0.09741241091319897,-0.05249043188986669,-0.043842802715854445
