cand,best_iter,hit_cap,secs,learning_rate,num_leaves,max_depth,colsample_bytree,subsample,lambda_l1,lambda_l2,min_data_in_leaf,bagging_freq,seed,dev_ic,promo_ic
27,20,0,511.5,0.2320358661519785,283,8,0.8206506085672298,0.8715117637749618,200.37469817584758,578.9467143630833,32,1,575567,0.07263272891753458,0.07229756816996996
28,28,0,399.7,0.23082581540340935,270,6,0.814913040593021,0.9174470071580392,159.7989535168094,512.4831778126292,26,1,971669,0.07268693020886897,0.07046099352429666
29,67,0,467.3,0.13724203173617242,171,6,0.8458140112771304,0.7282110113815929,329.9086704215447,586.7924938750824,25,1,903092,0.07286685364950332,0.07947826084843475
30,22,0,874.9,0.19596515911933643,195,10,0.9623213673621017,0.890791585816199,152.60385466253805,713.4369055164282,22,1,4095,0.06843451776486766,0.07137548399953049
31,14,0,392.2,0.29762716978394727,173,7,0.9554912086252556,0.9405795572517125,137.39329217718227,723.0096913706351,15,1,886069,0.06571782856512484,0.07050931983935337
32,30,0,510.6,0.15246485890337122,356,8,0.9306542109787093,0.9480225976580909,196.49784668008454,521.091283173267,28,1,568105,0.07009056791139333,0.07543776786828173
33,51,0,404.5,0.1650043869148665,186,6,0.8561851026233172,1.0,350.70550809675285,737.003220554194,18,1,968798,0.07289979998106752,0.07209919243743355
34,48,0,596.9,0.132705864152018,130,8,0.9121309996954329,0.8648044903982735,236.00234750966482,571.1194676705621,12,1,741388,0.07218275634123464,0.07545001489959147
35,32,0,456.3,0.2099409412500195,241,9,0.83669140513656,0.7334354834801906,173.5315492163844,390.77662924989073,23,1,9961,0.07038267751864603,0.07128204055573344
36,41,0,395.8,0.16626018960599176,169,7,0.8780853782623776,0.8121253951360176,224.04131360279132,611.5667568888497,40,1,80945,0.07527752662486473,0.07113317088076866
37,24,0,396.7,0.20447681961287545,250,6,0.946686920260709,0.9779160340692096,112.8702886936975,984.7004873021486,46,1,789531,0.07141608366947781,0.07238897315725323
38,22,0,608.2,0.18662938124603856,192,10,0.9554913150999503,0.949134927452993,173.05594565327354,533.2005627365119,28,1,281288,0.06939269252662439,0.07537091887711468
39,50,0,412.6,0.1820503783147659,175,7,0.8182732449916734,0.9606280926258071,329.26740619781197,455.1418686139073,18,1,458203,0.07150296368739256,0.07567792464963415
40,12,0,433.0,0.23426124568931064,285,10,0.9371492636509275,0.8621182739172184,187.03554025493597,709.275903736413,21,1,738704,0.06627678172177037,0.0630694413546766
41,36,0,366.5,0.2435501688472535,189,7,0.8945043975657222,0.8564058851743721,304.21027597348143,470.1900767547376,18,1,123307,0.07249864365908608,0.07141475778386698
42,21,0,436.3,0.2005147243807769,307,8,0.9104229722989171,0.8582555972131415,210.77159250051972,517.9410701788586,18,1,357311,0.07226841224323227,0.07211319535813338
43,24,0,481.4,0.19458829977015782,309,8,0.9657208971696976,0.9220222673637545,152.17566587623148,714.5579076339645,18,1,799101,0.07220183341511717,0.07301065972019313
44,12,0,471.2,0.28864212941931,217,10,0.8942589751986816,0.7558693652689952,157.2826888294567,556.4638855499469,13,1,958381,0.06754265713184447,0.061805604654645616
45,18,0,410.9,0.15602123179598565,183,9,0.8978347173938792,0.9269698715390012,221.7566438286888,808.3420857871288,8,1,895184,0.071558909297242,0.06795327355117732
46,25,0,400.2,0.1695799489906843,224,8,0.77590362789607,0.797872762719576,169.93537668286754,524.0353647357653,15,1,932520,0.06855315021860933,0.0705826868317204
47,39,0,439.4,0.15968448435893604,299,7,0.8471157230878253,0.930496853115429,247.12222769994708,666.720963333626,53,1,909615,0.06978282671750545,0.07296400386332305
48,15,0,476.5,0.23292568521076415,183,9,0.8882307641734655,0.9572071489648334,153.22858955280861,509.2278586212899,32,1,492773,0.06973435589257337,0.06928763240183797
49,28,0,390.0,0.22934767219061314,195,7,0.8010989691319478,0.9478071817872695,266.18492537455455,431.54892673329897,19,1,891002,0.0715158894123071,0.07455950864859819
