datetime,rank_ic
2015-01-05,0.12511640102595745
2015-01-06,0.11985820618129346
2015-01-07,0.2346562715732945
2015-01-08,-0.25149094503858577
2015-01-09,2.623919362795984e-05
2015-01-12,0.21118334520509086
2015-01-13,0.3315964709994611
2015-01-14,-0.10287402850156431
2015-01-15,0.23132264793720625
2015-01-16,-0.09354395667299484
2015-01-19,0.012702524166790614
2015-01-20,-0.028973124413073297
2015-01-21,0.2728278713896824
2015-01-22,0.06188859009755789
2015-01-23,0.1883696042591676
2015-01-26,0.10748243757049881
2015-01-27,0.06573931036178828
2015-01-28,-0.03035408710113069
2015-01-29,0.17277329169496203
2015-01-30,0.2618396906194815
2015-02-02,-0.11869682346948675
2015-02-03,-0.06141029471639367
2015-02-04,0.11983021486132997
2015-02-05,0.18584877986903095
2015-02-06,0.26621091318870055
2015-02-09,0.15274128034641113
2015-02-10,0.06156324347983862
2015-02-11,0.18600165743178002
2015-02-12,0.13745083945785572
2015-02-13,0.10758938841862946
2015-02-16,-0.09863987221030893
2015-02-17,-0.031297809269164215
2015-02-25,-0.1137632648431799
2015-02-26,-0.10077220096059275
2015-02-27,-0.02977082229024458
2015-03-02,-0.046370702274008774
2015-03-03,-0.0517170223490234
2015-03-04,0.23976495229390588
2015-03-05,0.0785396016531073
2015-03-06,0.22822778556530013
2015-03-09,0.1393323557497339
2015-03-10,0.1388566402818626
2015-03-11,0.11280796600091952
2015-03-12,0.2789634146341463
2015-03-13,0.009549901318194002
2015-03-16,0.1462410098442098
2015-03-17,-0.07790841816807689
2015-03-18,0.1379662041615039
2015-03-19,0.006269084654544586
2015-03-20,0.15873140450453457
2015-03-23,-0.0723797383617666
2015-03-24,0.23837146198839626
2015-03-25,-0.0006454080856203386
2015-03-26,0.06806774138882966
2015-03-27,0.14209343413775746
2015-03-30,0.169235964548925
2015-03-31,0.0740795811097608
2015-04-01,-0.17865978768426122
2015-04-02,0.05645923874644002
2015-04-03,0.14344922358646267
2015-04-07,0.057314432875050676
2015-04-08,0.31631450129699323
2015-04-09,0.0083709081174105
2015-04-10,0.0055089840762183
2015-04-13,-0.032208269494128916
2015-04-14,0.08057494926022014
2015-04-15,-0.0051943110759316334
2015-04-16,-0.01828927795035112
2015-04-17,0.31459129398516383
2015-04-20,0.07359734332349789
2015-04-21,-0.10535318328571668
2015-04-22,0.08072970195272354
2015-04-23,0.06573584167618655
2015-04-24,0.0876665950517193
2015-04-27,0.2278563142838506
2015-04-28,0.17732275137760684
2015-04-29,0.14236647270865183
2015-04-30,0.23235889285037342
2015-05-04,0.10604402791572472
2015-05-05,0.2562314233717215
2015-05-06,0.012250395592904705
2015-05-07,0.21556133212102402
2015-05-08,0.10196008359532209
2015-05-11,-0.03330204237619085
2015-05-12,-0.01557723606011922
2015-05-13,-0.004266567308018148
2015-05-14,0.19528696991687133
2015-05-15,0.2371780000715607
2015-05-18,-0.006659740757263968
2015-05-19,-0.18987499749101688
2015-05-20,0.05129047366089112
2015-05-21,-0.0765862538334126
2015-05-22,-0.040663467118102245
2015-05-25,-0.04769941057502029
2015-05-26,0.17740573820415895
2015-05-27,-0.030796653985624662
2015-05-28,0.10122375452631484
2015-05-29,0.02448804484695286
2015-06-01,0.11367319769021389
2015-06-02,0.15073787016735743
2015-06-03,0.17683629940456883
2015-06-04,0.07133736021375083
2015-06-05,-0.09318322208920303
2015-06-17,0.1839828088139268
2015-06-18,0.028636990500670055
2015-06-19,0.033654249182932354
2015-06-23,-0.07888414711728012
2015-06-24,0.04388622539362095
2015-06-25,-0.2909068095496634
2015-06-26,-0.05218397594780597
2015-06-29,-0.12346409737086017
2015-06-30,0.20522735616573867
2015-07-01,-0.2952734084310359
2015-07-02,-0.2731169228845566
2015-07-03,0.01699104770759993
2015-07-06,-0.1973476848676542
2015-07-07,-0.08272105352230287
2015-07-08,0.02821934954877798
2015-07-09,0.212529554028696
2015-07-10,-0.33943954363551
2015-07-13,0.231765923561579
2015-07-14,-0.1310718944944102
2015-07-15,0.17117660567632678
2015-07-16,-0.40215772159799207
2015-07-17,0.054918792675764626
2015-07-20,-0.10815644483250898
2015-07-21,-0.04874171392733504
2015-07-22,0.05730830726322867
2015-07-23,0.1309760769229771
2015-07-24,0.15834876371005513
2015-07-27,0.45482225527795855
2015-07-28,0.19884320616349385
2015-07-29,0.26109176829420394
2015-07-30,0.05144834553503791
2015-07-31,0.5101316404789059
2015-08-03,0.14458082747444437
2015-08-04,0.14672546171113957
2015-08-05,0.3902202680943513
2015-08-06,0.39825408109359606
2015-08-07,0.053213147156405266
2015-08-10,0.06648911836565394
2015-08-11,0.09998300853412156
2015-08-12,-0.010603791932935145
2015-08-13,-0.1703206829758232
2015-08-14,-0.09381972870390655
2015-08-17,-0.0669279869872048
2015-08-18,-0.09739055975144613
2015-08-19,0.20161872349039525
2015-08-20,-0.014349602226323793
2015-08-21,-0.08199450864448767
2015-08-24,-0.007898018651785866
2015-08-25,0.33354160877279365
2015-08-26,0.06327412898073222
2015-08-27,0.06923228084120368
2015-08-28,0.10159262859087921
2015-08-31,-0.1137723404566842
2015-09-01,0.21653516777812074
2015-09-02,0.17702501914245258
2015-09-07,-0.2191829248657692
2015-09-08,0.35359218823492194
2015-09-09,0.00456933953512455
2015-09-10,-0.3650971204829742
2015-09-11,-0.040588352309028373
2015-09-14,0.3764292281234759
2015-09-15,-0.03599367302792882
2015-09-16,0.18705975734437902
2015-09-17,0.0390634561095333
2015-09-18,0.11259144184135587
2015-09-21,0.10468067915973278
2015-09-22,-0.01927623089089883
2015-09-23,-0.018885504763864108
2015-09-24,-0.09713810245956903
2015-09-25,-0.2021495571839067
2015-09-28,0.09067340825632472
2015-09-29,0.19496970183101572
2015-09-30,0.23449448154150665
2015-10-08,-0.009608204789675747
2015-10-09,-0.00021467756474096664
2015-10-12,0.0187597060786739
2015-10-13,-0.07653856616994592
2015-10-14,-0.0529574931701332
2015-10-26,0.06491509088345572
2015-10-27,-0.05318505304665852
2015-10-28,0.14860280816488428
2015-10-29,-0.022757697456496265
2015-10-30,0.20105607269662
2015-11-02,0.5032368575185934
2015-11-03,-0.027114205668897624
2015-11-04,0.08120379202846473
2015-11-05,0.11317437202366838
2015-11-06,0.05186161579366462
2015-11-09,0.05130731301046212
2015-11-10,0.0835660044679616
2015-11-11,0.1213188024280922
2015-11-12,0.009355846229725009
2015-11-13,-0.04739727725728049
2015-11-16,0.16052196416682804
2015-11-17,0.31392334822186396
2015-11-18,-0.009352244558363181
2015-11-19,0.17208184071718804
2015-11-20,0.19963783888264044
2015-11-23,0.1406473379002695
2015-11-24,0.2941687339604556
2015-11-25,0.07854410659539826
2015-11-26,0.14113811070733492
2015-11-27,-0.0961658331323248
2015-11-30,0.16007433405884075
2015-12-01,0.13701426987552975
2015-12-02,-0.08879850872733434
2015-12-03,0.05668758094482633
2015-12-04,0.006550497869142273
2015-12-07,0.12688771018866193
2015-12-08,0.16648729349436311
2015-12-09,-0.00972131111824949
2015-12-10,0.10874803733073489
2015-12-11,0.3021897137205641
2015-12-14,0.2274953301169939
2015-12-15,0.06367040033596706
2015-12-16,0.004476319828020269
2015-12-17,0.19390235245644014
2015-12-18,0.23827848032552099
2015-12-21,0.013043762984210047
2015-12-22,0.17352858357152032
2015-12-23,-0.07147200548923059
2015-12-24,0.18270620370532786
2015-12-25,-0.07426913406257879
2015-12-28,0.1740847508274258
2015-12-29,-0.05102760049156886
