datetime,rank_ic
2015-01-05,0.06305825942949456
2015-01-06,0.13158510798968825
2015-01-07,0.1845455191676326
2015-01-08,-0.17061064852810684
2015-01-09,-0.09267492358896304
2015-01-12,0.22457191082431907
2015-01-13,0.29438099113825966
2015-01-14,-0.13209901928221934
2015-01-15,0.13486970847320642
2015-01-16,-0.06975532484826588
2015-01-19,0.05814760679321882
2015-01-20,0.0009459336783726348
2015-01-21,0.17767236762668334
2015-01-22,0.0069214181400171545
2015-01-23,0.22216257706460943
2015-01-26,0.2038649030637537
2015-01-27,0.05160507862286666
2015-01-28,-0.05512855059181195
2015-01-29,0.15730056551142746
2015-01-30,0.24469446997898564
2015-02-02,-0.12087089727889055
2015-02-03,-0.06500113782455352
2015-02-04,0.18901002008839723
2015-02-05,0.28562459374065774
2015-02-06,0.26065694485229673
2015-02-09,0.10962734503782512
2015-02-10,0.008860506904544676
2015-02-11,0.19268245400605036
2015-02-12,0.06648921146542407
2015-02-13,0.11201265917304569
2015-02-16,-0.1465436712943248
2015-02-17,-0.014662700057757237
2015-02-25,-0.10943878350328641
2015-02-26,-0.09513191907168807
2015-02-27,0.10573048504680982
2015-03-02,-0.05838678159843376
2015-03-03,-0.02360978781484042
2015-03-04,0.18243863562398097
2015-03-05,0.08420917875903716
2015-03-06,0.2401740054523718
2015-03-09,0.14078212510405022
2015-03-10,0.07414703150873346
2015-03-11,0.09785609289596686
2015-03-12,0.25677726744799917
2015-03-13,0.02797608895169871
2015-03-16,0.07558831244530122
2015-03-17,-0.06484364609692704
2015-03-18,0.14669655583659283
2015-03-19,-0.012323297278390372
2015-03-20,0.18977533246924377
2015-03-23,-0.10872439498883657
2015-03-24,0.3228453723319534
2015-03-25,0.016545529127154207
2015-03-26,0.07239286944257671
2015-03-27,0.10300603250961946
2015-03-30,0.13588294710614338
2015-03-31,0.07828335250495515
2015-04-01,-0.11193514451399134
2015-04-02,0.05163234754677001
2015-04-03,0.14980605377449194
2015-04-07,0.0782388022630938
2015-04-08,0.2797260660760161
2015-04-09,0.06917886002426604
2015-04-10,0.005492488492640383
2015-04-13,0.04176926757831742
2015-04-14,0.06667679799399968
2015-04-15,0.05173428873963565
2015-04-16,-0.032681811777795375
2015-04-17,0.2914946072562879
2015-04-20,0.15767330835792195
2015-04-21,-0.08380940443508782
2015-04-22,0.04954801136049686
2015-04-23,0.055317336977759236
2015-04-24,0.08816584844582634
2015-04-27,0.23684953956918717
2015-04-28,0.19869626296609247
2015-04-29,0.1301504652055314
2015-04-30,0.20780551287576596
2015-05-04,0.08309108489859074
2015-05-05,0.2304212941802105
2015-05-06,-0.025218174023431718
2015-05-07,0.23304372136207824
2015-05-08,0.09941181755837801
2015-05-11,0.07458533069674679
2015-05-12,-0.01778965806846032
2015-05-13,0.09005096657039255
2015-05-14,0.2403797693345581
2015-05-15,0.23236843161568166
2015-05-18,-0.018449192647400286
2015-05-19,-0.17101012215314237
2015-05-20,0.0009293631609664557
2015-05-21,-0.014908353422875291
2015-05-22,-0.021192339771931728
2015-05-25,-0.037616680283352154
2015-05-26,0.14807487446981615
2015-05-27,0.0029928230180538565
2015-05-28,0.11120587441755325
2015-05-29,0.07208419723669288
2015-06-01,0.11856953891871336
2015-06-02,0.1737702885321881
2015-06-03,0.1980076938652784
2015-06-04,0.09046214625715028
2015-06-05,-0.08689724540947133
2015-06-17,0.16665630301265427
2015-06-18,0.00794230703886239
2015-06-19,0.0720597692023649
2015-06-23,-0.043050937655583335
2015-06-24,-0.00879249739802066
2015-06-25,-0.2932837996366173
2015-06-26,0.14589038935963555
2015-06-29,-0.028559813438708854
2015-06-30,0.20295038203707919
2015-07-01,-0.08599942937566134
2015-07-02,-0.3029750907991596
2015-07-03,-0.16111601851083215
2015-07-06,-0.21945854784885932
2015-07-07,0.011887595436059032
2015-07-08,0.35378506985339353
2015-07-09,0.3533150879555183
2015-07-10,-0.24222620986442472
2015-07-13,0.14239784244998005
2015-07-14,0.06654381542547043
2015-07-15,0.23551946868609147
2015-07-16,-0.36325966197946274
2015-07-17,0.03414671857805698
2015-07-20,-0.08673930030665623
2015-07-21,-0.03470035479010278
2015-07-22,-0.004054698043055659
2015-07-23,0.10601481928511594
2015-07-24,0.20835957600670404
2015-07-27,0.4775684355589258
2015-07-28,0.22748463383207873
2015-07-29,0.33661781129997204
2015-07-30,0.11017104083780734
2015-07-31,0.36384149054531756
2015-08-03,0.14543856057192475
2015-08-04,0.13955890001335855
2015-08-05,0.3719307912578696
2015-08-06,0.4429201260035609
