datetime,s0
2015-01-05,-0.017493891055798277
2015-01-06,0.3189744680705134
2015-01-07,0.11201235427252773
2015-01-08,-0.18080617853070607
2015-01-09,0.049811053954575614
2015-01-12,0.19483692942768072
2015-01-13,0.11024766270234793
2015-01-14,-0.14592458340868866
2015-01-15,0.2524465810524255
2015-01-16,-0.018483364465904293
2015-01-19,0.14718117623684412
2015-01-20,0.029646717758036695
2015-01-21,-0.015604622859744111
2015-01-22,0.07925177888953704
2015-01-23,0.2635279154101355
2015-01-26,0.20871928035554155
2015-01-27,-0.003261034051910924
2015-01-28,0.06475803733428677
2015-01-29,0.13424306127941654
2015-01-30,0.15811366887091244
2015-02-02,-0.06324128652232265
2015-02-03,0.026436149602456518
2015-02-04,0.12424078078432049
2015-02-05,0.14277133446286258
2015-02-06,0.21671345381712576
2015-02-09,0.0702256571749216
2015-02-10,0.02057634987515706
2015-02-11,0.10330182606720308
2015-02-12,0.13499792547195227
2015-02-13,0.14564060495964448
2015-02-16,0.03554320760339018
2015-02-17,-0.07631737756557588
2015-02-25,-0.038774035642204295
2015-02-26,-0.09458533902878788
2015-02-27,0.0811198454355151
2015-03-02,0.2132771784707522
2015-03-03,0.06764943581287808
2015-03-04,0.20248656721410557
2015-03-05,-0.0692024982133959
2015-03-06,0.3210780880560103
2015-03-09,-0.0257772583023776
2015-03-10,-0.026348075846836322
2015-03-11,0.12687467326028148
2015-03-12,0.09675131778790315
2015-03-13,0.15763657074632684
2015-03-16,0.1513002310063894
2015-03-17,-0.04066795468423279
2015-03-18,0.11158274880035492
2015-03-19,-0.12103579976825718
2015-03-20,0.14896530285700335
2015-03-23,-0.13118101410784339
2015-03-24,0.19655145210863176
2015-03-25,-0.040571225790578314
2015-03-26,0.07175656395034193
2015-03-27,0.022546417998919165
2015-03-30,0.11025688787806544
2015-03-31,0.03201070786399108
2015-04-01,-0.07125775777920498
2015-04-02,0.16924643621491972
2015-04-03,0.11048193703102034
2015-04-07,0.12123740471734314
2015-04-08,0.2448218139281702
2015-04-09,0.03979379258719228
2015-04-10,0.04839533802357804
2015-04-13,0.1010672546049519
2015-04-14,0.15471848804153182
2015-04-15,0.02819151931139447
2015-04-16,0.013117235750856557
2015-04-17,0.24408219492595565
2015-04-20,0.0952458309849816
2015-04-21,-0.00423400156199035
2015-04-22,0.0747306302423499
2015-04-23,-0.04717115791887334
2015-04-24,0.12575433147803353
2015-04-27,0.07669531909956627
2015-04-28,0.12297376456012482
2015-04-29,-0.048915609344410305
2015-04-30,0.09903258359267704
2015-05-04,0.0066262449056067865
2015-05-05,-0.06347014706607841
2015-05-06,0.05114680584458021
2015-05-07,0.23398501370260033
2015-05-08,0.15448583656479484
2015-05-11,0.15051617255179872
2015-05-12,-0.04997903893013818
2015-05-13,0.028866208596562287
2015-05-14,0.3204465985601975
2015-05-15,0.0461969412098741
