datetime,s0,s1,s2,s3
2015-01-05,0.14545234143895694,0.14545234143895694,0.14545234143895694,0.14545234143895694
2015-01-06,0.031663366825316126,0.031663366825316126,0.031663366825316126,0.031663366825316126
2015-01-07,0.2523518486809204,0.2523518486809204,0.2523518486809204,0.2523518486809204
2015-01-08,-0.14514182609784423,-0.14514182609784423,-0.14514182609784423,-0.14514182609784423
2015-01-09,-0.1552029220043913,-0.1552029220043913,-0.1552029220043913,-0.1552029220043913
2015-01-12,0.15959891551900574,0.15959891551900574,0.15959891551900574,0.15959891551900574
2015-01-13,0.30212244831839147,0.30212244831839147,0.30212244831839147,0.30212244831839147
2015-01-14,-0.136972315954127,-0.136972315954127,-0.136972315954127,-0.136972315954127
2015-01-15,0.08359609819486091,0.08359609819486091,0.08359609819486091,0.08359609819486091
2015-01-16,-0.1946546792464338,-0.1946546792464338,-0.1946546792464338,-0.1946546792464338
2015-01-19,0.39734559149195753,0.39734559149195753,0.39734559149195753,0.39734559149195753
2015-01-20,0.018854709261502924,0.018854709261502924,0.018854709261502924,0.018854709261502924
2015-01-21,0.32249283291254577,0.32249283291254577,0.32249283291254577,0.32249283291254577
2015-01-22,-0.1316110990275385,-0.1316110990275385,-0.1316110990275385,-0.1316110990275385
2015-01-23,0.07077824630120638,0.07077824630120638,0.07077824630120638,0.07077824630120638
2015-01-26,0.2109973836254562,0.2109973836254562,0.2109973836254562,0.2109973836254562
2015-01-27,0.01352283350817807,0.01352283350817807,0.01352283350817807,0.01352283350817807
2015-01-28,-0.0411364872493466,-0.0411364872493466,-0.0411364872493466,-0.0411364872493466
2015-01-29,0.005154393824975455,0.005154393824975455,0.005154393824975455,0.005154393824975455
2015-01-30,0.2576578260638598,0.2576578260638598,0.2576578260638598,0.2576578260638598
2015-02-02,-0.022452420384950923,-0.022452420384950923,-0.022452420384950923,-0.022452420384950923
2015-02-03,-0.1901263907602115,-0.1901263907602115,-0.1901263907602115,-0.1901263907602115
2015-02-04,0.05802054204841653,0.05802054204841653,0.05802054204841653,0.05802054204841653
2015-02-05,0.32325490002543644,0.32325490002543644,0.32325490002543644,0.32325490002543644
2015-02-06,0.2537963021984416,0.2537963021984416,0.2537963021984416,0.2537963021984416
2015-02-09,0.11353071189040412,0.11353071189040412,0.11353071189040412,0.11353071189040412
2015-02-10,0.025715617397852355,0.025715617397852355,0.025715617397852355,0.025715617397852355
2015-02-11,0.10961630069086227,0.10961630069086227,0.10961630069086227,0.10961630069086227
2015-02-12,-0.05361737853403636,-0.05361737853403636,-0.05361737853403636,-0.05361737853403636
2015-02-13,0.17873594439241067,0.17873594439241067,0.17873594439241067,0.17873594439241067
2015-02-16,0.05294752195304047,0.05294752195304047,0.05294752195304047,0.05294752195304047
2015-02-17,-0.11029319616094709,-0.11029319616094709,-0.11029319616094709,-0.11029319616094709
2015-02-25,-0.14536226068594152,-0.14536226068594152,-0.14536226068594152,-0.14536226068594152
2015-02-26,-0.12327838131613153,-0.12327838131613153,-0.12327838131613153,-0.12327838131613153
2015-02-27,0.01603049838587656,0.01603049838587656,0.01603049838587656,0.01603049838587656
2015-03-02,-0.02200888503885725,-0.02200888503885725,-0.02200888503885725,-0.02200888503885725
2015-03-03,-0.007253464331731453,-0.007253464331731453,-0.007253464331731453,-0.007253464331731453
2015-03-04,0.1569049240321012,0.1569049240321012,0.1569049240321012,0.1569049240321012
2015-03-05,0.06417276201726363,0.06417276201726363,0.06417276201726363,0.06417276201726363
2015-03-06,0.18028346485822178,0.18028346485822178,0.18028346485822178,0.18028346485822178
2015-03-09,0.0690144828096058,0.0690144828096058,0.0690144828096058,0.0690144828096058
2015-03-10,0.053649716608041985,0.053649716608041985,0.053649716608041985,0.053649716608041985
2015-03-11,0.07319642538662052,0.07319642538662052,0.07319642538662052,0.07319642538662052
2015-03-12,0.19965022270034782,0.19965022270034782,0.19965022270034782,0.19965022270034782
2015-03-13,-0.08123380684356295,-0.08123380684356295,-0.08123380684356295,-0.08123380684356295
2015-03-16,0.04074585503896363,0.04074585503896363,0.04074585503896363,0.04074585503896363
