datetime,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23
2015-01-05,0.07878444569270046,0.05699624902010551,0.08500406740875008,0.07235057863778041,0.1001188471199714,0.08795891791481349,0.08462787283734766,0.06777912775697813,0.06981048204419846,0.08742559402851398,0.05278291801957485,0.0883833116625647,0.11139793637735494,0.0738254734340538,0.0810611337875362,0.0881938888995139,0.0900640169418475,0.08283269451423647,0.09187678796432598,0.11308418456191784,0.06213837814887764,0.05559052674040882,0.0729019772152107,0.06514311480246204
2015-01-06,0.19423727384950198,0.14136150069064451,0.1648542625452658,0.1556216324002266,0.13277227174615855,0.11586416041668506,0.1563642000243513,0.13143187225421707,0.15554277148243403,0.13467437819447287,0.2168058990806498,0.1896562573015632,0.13702792798056987,0.14214963764750566,0.12360268311324692,0.16254840708669605,0.15731147547999147,0.11688439402680995,0.1614892152387395,0.13420003213505588,0.16755489481386304,0.1342241154093518,0.15150032305870142,0.12452327807873573
2015-01-07,0.17283004717820175,0.16148335231333127,0.2324679395288461,0.1927411494688271,0.19810392263465323,0.21089042262490962,0.2106256473284917,0.18945841286585136,0.2349038722558907,0.17030299358338089,0.1716946143755448,0.19306555884101473,0.1671738743595882,0.20158989216785236,0.21111416967719784,0.15972056903357612,0.22379857612973636,0.2163600600545152,0.19190054753677604,0.20104459817901335,0.18030577491670322,0.19073219672429417,0.16993660182185125,0.17660655392855132
2015-01-08,-0.2064545421572986,-0.18517927188453684,-0.23894884774918776,-0.2343378924345815,-0.17073500189361862,-0.2849673048251657,-0.12793479063749388,-0.21962515413129874,-0.19444191065090335,-0.1837761996093245,-0.19050309009678615,-0.18367498175367541,-0.24141494850361023,-0.2328070928653358,-0.2686345988417082,-0.25538277158829437,-0.2213263370908872,-0.19634480633710677,-0.236511907376988,-0.257880683668778,-0.1777105991121038,-0.2164541433107485,-0.17980580872404056,-0.24197020074031397
2015-01-09,-0.02606386810690029,-0.014508604309394558,-0.09862788100877544,-0.1349271814736951,0.016772569643239713,-0.0621747234539464,-0.06446874459140176,-0.1248696985560981,-0.062175677606441965,-0.12793539052433936,-0.03332902374623459,-0.04313079379502093,-0.10024731633186836,-0.06368657808316468,-0.07866057027226968,-0.034804382042497604,-0.08199056248178167,-0.11011921658907851,-0.03907326030764278,-0.010494484760564485,-0.07282497360941141,-0.08862311501655824,-0.02928651816066154,-0.040286465205750084
2015-01-12,0.22889371156350768,0.24728676882133713,0.2498076204722779,0.2936644280838099,0.2591219860349137,0.2244077978478006,0.22155013293691203,0.2636226890014117,0.2504640723783518,0.22023007303567183,0.25670895279296474,0.27184885194940034,0.25914440844740316,0.2484694318120037,0.2568072297498334,0.22887176622362437,0.22063272231526948,0.22573692212855778,0.24818939019218872,0.2565219403313507,0.25952606653232985,0.23736270446803087,0.2896035860601899,0.24884631917086877
2015-01-13,0.28503227634798045,0.2855875888615487,0.3146570539725962,0.3519216723122319,0.30990922739610816,0.3871043457985926,0.24844414696387726,0.29621915188978787,0.3221404148727962,0.30889258567238476,0.2895969070437036,0.28781790329533913,0.28688284098726874,0.33891094819708106,0.369988411907449,0.2851567922981878,0.3110017236642108,0.41868989183451916,0.36786066808398277,0.3252623780074965,0.366044929744944,0.3455164955019498,0.2830633977023649,0.363023151857537
2015-01-14,-0.12537563504362956,-0.11242263671382391,-0.1293797054271167,-0.121608192672797,-0.16687427276292077,-0.1662593261735826,-0.08617410192299088,-0.12225128654589847,-0.09953118075021267,-0.0966425061199238,-0.13055998305475247,-0.11601069978474093,-0.13351497077729735,-0.11498642489931894,-0.14614308266230916,-0.09189181710779884,-0.09038522181755074,-0.12882296169572988,-0.10798967805740041,-0.10393265261462972,-0.13293389634299646,-0.09451571644166983,-0.1473190666364895,-0.12481030400533191
2015-01-15,0.2506292378967792,0.1978645916677661,0.11322426221797673,0.16917269314785757,0.22903391859770572,0.13092486162069683,0.2044230290948659,0.20184390080263317,0.12398878505755437,0.09332795753862307,0.1220617891853162,0.17929857928640577,0.14682980741610746,0.18911358189879252,0.10476485637664298,0.18591822943881176,0.1941132637854175,0.16049542784322926,0.20558366092586877,0.2315993101759918,0.28947666493796304,0.10855884037072075,0.24376184490337005,0.17468111544047238
2015-01-16,-0.054897973495874615,-0.08654666232560343,-0.11369283866033265,-0.1325135963442961,-0.012558980551941044,-0.13166312443963124,-0.028435500418026744,-0.0512579826633277,-0.06390830037930047,-0.03756030000043696,-0.09381290726681914,-0.06314868364835584,-0.06486288219125218,-0.06646236704000838,-0.08169301988866653,-0.06412061711152199,-0.05616295706844074,-0.09766979373954696,-0.07954093314776055,-0.03520047543526884,-0.05953713024418819,-0.12011102164844105,-0.06389215370386479,-0.10447356897686585
